keyword,category,monthly_volume,cpc_usd,competition_index,keyword_difficulty,priority,trend_angle,assign_to_page
navitas organic cacao sweet nibs,Cacao Nibs,110,0.1,72,,LOW,Ethical Sourcing,/shop/cacao-nibs/
cocoa powder,Chocolate & Cacao,74000,0.53,100,26,HIGH — Broad,,/shop/chocolate-bar/
cacao powder,Chocolate & Cacao,49500,0.73,100,13,HIGH — Broad,,/shop/chocolate-bar/
raw cacao powder,Chocolate & Cacao,27100,0.74,100,0,HIGH — Broad,,/shop/chocolate-bar/
artisan chocolate,Chocolate & Cacao,12100,1.99,48,6,HIGH — Broad,,/shop/chocolate-bar/
dark chocolate bar,Chocolate & Cacao,9900,0.56,100,2,HIGH — Niche,,/shop/chocolate-bar/
bean to bar chocolate,Chocolate & Cacao,6600,1.52,17,0,HIGH — Niche,,/shop/chocolate-bar/
cacao benefits,Chocolate & Cacao,6600,0.72,55,15,HIGH — Niche,Wellness,/shop/chocolate-bar/
single origin dark chocolate,Chocolate & Cacao,4400,2.35,85,0,HIGH — Niche,Origin Story,/shop/chocolate-bar/
bean to bar dark chocolate,Chocolate & Cacao,1600,1.17,65,4,HIGH — Niche,,/shop/chocolate-bar/
mayan chocolate,Chocolate & Cacao,1000,0.67,63,2,HIGH — Niche,Origin Story,/shop/chocolate-bar/
craft chocolate,Chocolate & Cacao,1000,1.03,87,2,HIGH — Niche,,/shop/chocolate-bar/
cacao husk tea,Chocolate & Cacao,880,0.82,95,0,MEDIUM,,/shop/cacao-husk-tea/
single origin chocolate bar,Chocolate & Cacao,590,2.13,37,0,MEDIUM,Origin Story,/shop/chocolate-bar/
cacao chocolate powder,Chocolate & Cacao,74000,0.53,100,,LOW,,/shop/chocolate-bar/
cocoa powder cocoa powder,Chocolate & Cacao,74000,0.53,100,,LOW,,/shop/chocolate-bar/
unsweetened cocoa powder,Chocolate & Cacao,49500,0.38,83,,LOW,,/shop/chocolate-bar/
cocoa chocolate powder,Chocolate & Cacao,49500,0.73,100,,LOW,,/shop/chocolate-bar/
cocoa unsweetened powder,Chocolate & Cacao,49500,0.38,83,,LOW,,/shop/chocolate-bar/
dutch processed cocoa powder,Chocolate & Cacao,40500,0.38,96,,LOW,,/shop/chocolate-bar/
dutch process cocoa,Chocolate & Cacao,40500,0.38,96,,LOW,,/shop/chocolate-bar/
dutch chocolate cocoa powder,Chocolate & Cacao,40500,0.38,96,,LOW,,/shop/chocolate-bar/
cocoa powder hot chocolate,Chocolate & Cacao,33100,0.59,36,,LOW,,/shop/chocolate-bar/
cacao powder hot chocolate,Chocolate & Cacao,33100,0.59,36,,LOW,,/shop/chocolate-bar/
hot cocoa with cocoa powder,Chocolate & Cacao,33100,0.59,36,,LOW,,/shop/chocolate-bar/
hot cocoa with cacao powder,Chocolate & Cacao,33100,0.59,36,,LOW,,/shop/chocolate-bar/
hu chocolates,Chocolate & Cacao,27100,1.01,100,,LOW,,/shop/chocolate-bar/
chocolate hu,Chocolate & Cacao,27100,1.01,100,,LOW,,/shop/chocolate-bar/
raw chocolate powder,Chocolate & Cacao,27100,0.74,100,,LOW,,/shop/chocolate-bar/
cocoa powder raw,Chocolate & Cacao,27100,0.74,100,,LOW,,/shop/chocolate-bar/
dark chocolate is it good for you,Chocolate & Cacao,27100,0.4,10,,LOW,,/shop/chocolate-bar/
dark chocolate benefits,Chocolate & Cacao,22200,0.44,22,37,LOW,Wellness,/shop/chocolate-bar/
black chocolate benefits,Chocolate & Cacao,22200,0.44,22,,LOW,Wellness,/shop/chocolate-bar/
advantages of dark chocolate,Chocolate & Cacao,22200,0.44,22,,LOW,,/shop/chocolate-bar/
chocolate bean,Chocolate & Cacao,18100,0.52,39,,LOW,,/shop/chocolate-bar/
black cocoa powder,Chocolate & Cacao,18100,0.4,99,,LOW,,/shop/chocolate-bar/
cacao powder v cocoa powder,Chocolate & Cacao,18100,0.66,48,,LOW,,/shop/chocolate-bar/
cacao v cocoa,Chocolate & Cacao,18100,0.66,48,,LOW,,/shop/chocolate-bar/
chocolate christopher elbow,Chocolate & Cacao,18100,0.88,35,,LOW,,/shop/chocolate-bar/
hot chocolate unsweetened cocoa powder,Chocolate & Cacao,18100,0.34,25,,LOW,,/shop/chocolate-bar/
hot cocoa with unsweetened cocoa powder,Chocolate & Cacao,18100,0.34,25,,LOW,,/shop/chocolate-bar/
natural cocoa powder,Chocolate & Cacao,14800,0.61,73,,LOW,,/shop/chocolate-bar/
70 cocoa dark chocolate,Chocolate & Cacao,14800,0.46,100,,LOW,,/shop/chocolate-bar/
navitas organic cacao powder,Chocolate & Cacao,14800,0.82,52,,LOW,Ethical Sourcing,/shop/chocolate-bar/
hersheys cocoa powder,Chocolate & Cacao,14800,0.24,98,,LOW,,/shop/chocolate-bar/
navitas organics organic cacao powder,Chocolate & Cacao,14800,0.82,52,,LOW,Ethical Sourcing,/shop/chocolate-bar/
70 cacao dark chocolate,Chocolate & Cacao,14800,0.46,100,,LOW,,/shop/chocolate-bar/
cacao powder benefits,Chocolate & Cacao,14800,0.73,63,,LOW,Wellness,/shop/chocolate-bar/
cocoa powder benefits,Chocolate & Cacao,14800,0.73,63,,LOW,Wellness,/shop/chocolate-bar/
lindt dark chocolate,Chocolate & Cacao,12100,0.36,100,,LOW,,/shop/chocolate-bar/
organic cacao powder,Chocolate & Cacao,12100,0.94,100,,LOW,Ethical Sourcing,/shop/chocolate-bar/
lindt chocolate dark chocolate,Chocolate & Cacao,12100,0.36,100,,LOW,,/shop/chocolate-bar/
lindt black chocolate,Chocolate & Cacao,12100,0.36,100,,LOW,,/shop/chocolate-bar/
hershey's cocoa special dark,Chocolate & Cacao,12100,0.11,61,,LOW,,/shop/chocolate-bar/
artisante chocolate,Chocolate & Cacao,12100,1.99,48,,LOW,,/shop/chocolate-bar/
mounds chocolate bar,Chocolate & Cacao,12100,0.44,39,,LOW,,/shop/chocolate-bar/
artisan chocolaterie,Chocolate & Cacao,12100,1.99,48,,LOW,,/shop/chocolate-bar/
artisan cocoa,Chocolate & Cacao,12100,1.99,48,,LOW,,/shop/chocolate-bar/
black chocolate lindt,Chocolate & Cacao,12100,0.36,100,,LOW,,/shop/chocolate-bar/
cacao hershey's special dark,Chocolate & Cacao,12100,0.11,61,,LOW,,/shop/chocolate-bar/
chocolate dark lindt,Chocolate & Cacao,12100,0.36,100,,LOW,,/shop/chocolate-bar/
chocolate gourmet chocolate,Chocolate & Cacao,12100,2.5,100,,LOW,,/shop/chocolate-bar/
chocolate lindt dark,Chocolate & Cacao,12100,0.36,100,,LOW,,/shop/chocolate-bar/
hershey cocoa powder special dark,Chocolate & Cacao,12100,0.11,61,,LOW,,/shop/chocolate-bar/
hershey's cocoa powder special dark,Chocolate & Cacao,12100,0.11,61,,LOW,,/shop/chocolate-bar/
hu chocolate bar,Chocolate & Cacao,9900,0.81,100,,LOW,,/shop/chocolate-bar/
finest dark chocolate,Chocolate & Cacao,9900,0.78,100,,LOW,,/shop/chocolate-bar/
dove darkest chocolate,Chocolate & Cacao,9900,0.25,100,,LOW,,/shop/chocolate-bar/
bar dark chocolate,Chocolate & Cacao,9900,0.56,100,,LOW,,/shop/chocolate-bar/
best black cocoa,Chocolate & Cacao,9900,0.78,100,,LOW,,/shop/chocolate-bar/
black chocolate bar,Chocolate & Cacao,9900,0.56,100,,LOW,,/shop/chocolate-bar/
chocolate dark bar,Chocolate & Cacao,9900,0.56,100,,LOW,,/shop/chocolate-bar/
dark cocoa bar,Chocolate & Cacao,9900,0.56,100,,LOW,,/shop/chocolate-bar/
excellence dark chocolate,Chocolate & Cacao,9900,0.78,100,,LOW,,/shop/chocolate-bar/
raw cacao,Chocolate & Cacao,8100,0.85,100,,LOW,,/shop/chocolate-bar/
dark almond chocolate,Chocolate & Cacao,8100,0.59,100,,LOW,,/shop/chocolate-bar/
almond and dark chocolate,Chocolate & Cacao,8100,0.59,100,,LOW,,/shop/chocolate-bar/
milky way chocolate midnight,Chocolate & Cacao,8100,0.33,93,,LOW,,/shop/chocolate-bar/
ceremonial cacao,Chocolate & Cacao,8100,2.64,100,,LOW,,/shop/chocolate-bar/
raw chocolate cocoa,Chocolate & Cacao,8100,0.85,100,,LOW,,/shop/chocolate-bar/
assortment of chocolates,Chocolate & Cacao,8100,0.72,100,,LOW,,/shop/chocolate-bar/
box chocolate box,Chocolate & Cacao,8100,0.91,100,,LOW,Gifting/DTC,/shop/chocolate-bar/
chocolate box box,Chocolate & Cacao,8100,0.91,100,,LOW,Gifting/DTC,/shop/chocolate-bar/
chocolate box chocolate,Chocolate & Cacao,8100,0.91,100,,LOW,Gifting/DTC,/shop/chocolate-bar/
chocolates in box,Chocolate & Cacao,8100,0.91,100,,LOW,Gifting/DTC,/shop/chocolate-bar/
benefits of dark cocoa,Chocolate & Cacao,8100,0.25,17,,LOW,Wellness,/shop/chocolate-bar/
cocoa and health,Chocolate & Cacao,8100,0.74,100,,LOW,Wellness,/shop/chocolate-bar/
bean bar chocolate,Chocolate & Cacao,6600,1.52,17,,LOW,,/shop/chocolate-bar/
dutch cocoa powder,Chocolate & Cacao,6600,0.44,100,,LOW,,/shop/chocolate-bar/
dark cocoa powder,Chocolate & Cacao,6600,0.38,100,,LOW,,/shop/chocolate-bar/
70 dark chocolate,Chocolate & Cacao,6600,0.37,100,,LOW,,/shop/chocolate-bar/
cocoa powder for smoothies,Chocolate & Cacao,6600,0.48,58,,LOW,Functional Drinks,/shop/chocolate-bar/
cocoa dutch powder,Chocolate & Cacao,6600,0.44,100,,LOW,,/shop/chocolate-bar/
cacao powder smoothie,Chocolate & Cacao,6600,0.48,58,,LOW,Functional Drinks,/shop/chocolate-bar/
godiva chocolate box,Chocolate & Cacao,6600,1.03,100,,LOW,Gifting/DTC,/shop/chocolate-bar/
chocolate box godiva,Chocolate & Cacao,6600,1.03,100,,LOW,Gifting/DTC,/shop/chocolate-bar/
dark chocolate health benefits,Chocolate & Cacao,6600,0.66,11,57,LOW,Wellness,/shop/chocolate-bar/
cocoa bean benefits,Chocolate & Cacao,6600,0.72,55,,LOW,Wellness,/shop/chocolate-bar/
black chocolate health benefits,Chocolate & Cacao,6600,0.66,11,,LOW,Wellness,/shop/chocolate-bar/
cocoa is good for,Chocolate & Cacao,6600,0.22,8,,LOW,,/shop/chocolate-bar/
cocoa seed benefits,Chocolate & Cacao,6600,0.72,55,,LOW,Wellness,/shop/chocolate-bar/
dark chocolate and health benefits,Chocolate & Cacao,6600,0.66,11,,LOW,Wellness,/shop/chocolate-bar/
dark chocolate nutrition benefits,Chocolate & Cacao,6600,0.66,11,,LOW,Wellness,/shop/chocolate-bar/
dark cocoa health benefits,Chocolate & Cacao,6600,0.66,11,,LOW,Wellness,/shop/chocolate-bar/
health advantages of dark chocolate,Chocolate & Cacao,6600,0.66,11,,LOW,Wellness,/shop/chocolate-bar/
health benefits for dark chocolate,Chocolate & Cacao,6600,0.66,11,,LOW,Wellness,/shop/chocolate-bar/
health properties of dark chocolate,Chocolate & Cacao,6600,0.66,11,,LOW,Wellness,/shop/chocolate-bar/
organic dark chocolate,Chocolate & Cacao,5400,1.09,95,,LOW,Ethical Sourcing,/shop/chocolate-bar/
organic cocoa powder,Chocolate & Cacao,5400,0.9,100,,LOW,Ethical Sourcing,/shop/chocolate-bar/
valrhona cocoa powder,Chocolate & Cacao,5400,1.15,100,,LOW,,/shop/chocolate-bar/
hershey cocoa powder,Chocolate & Cacao,5400,0.23,100,,LOW,,/shop/chocolate-bar/
ghirardelli cocoa powder,Chocolate & Cacao,5400,0.4,100,,LOW,,/shop/chocolate-bar/
white cocoa powder,Chocolate & Cacao,5400,0.6,100,,LOW,,/shop/chocolate-bar/
organic cocoa,Chocolate & Cacao,5400,0.9,100,,LOW,Ethical Sourcing,/shop/chocolate-bar/
droste cocoa powder,Chocolate & Cacao,5400,0.39,93,,LOW,,/shop/chocolate-bar/
organic chocolate powder,Chocolate & Cacao,5400,0.9,100,,LOW,Ethical Sourcing,/shop/chocolate-bar/
cocoa organic powder,Chocolate & Cacao,5400,0.9,100,,LOW,Ethical Sourcing,/shop/chocolate-bar/
ghirardelli chocolate and cocoa powder,Chocolate & Cacao,5400,0.4,100,,LOW,,/shop/chocolate-bar/
ghirardelli chocolate cocoa powder,Chocolate & Cacao,5400,0.4,100,,LOW,,/shop/chocolate-bar/
organic black chocolate,Chocolate & Cacao,5400,1.09,95,,LOW,Ethical Sourcing,/shop/chocolate-bar/
droste cacao powder,Chocolate & Cacao,5400,0.39,93,,LOW,,/shop/chocolate-bar/
organic black cocoa,Chocolate & Cacao,5400,1.09,95,,LOW,Ethical Sourcing,/shop/chocolate-bar/
organic dark cocoa,Chocolate & Cacao,5400,1.09,95,,LOW,Ethical Sourcing,/shop/chocolate-bar/
valrhona chocolate cocoa powder,Chocolate & Cacao,5400,1.15,100,,LOW,,/shop/chocolate-bar/
gifts of chocolate,Chocolate & Cacao,5400,2.29,100,,LOW,Gifting/DTC,/shop/chocolate-bar/
dark chocolate single origin,Chocolate & Cacao,4400,2.35,85,,LOW,Origin Story,/shop/chocolate-bar/
hu dark chocolate,Chocolate & Cacao,4400,1.14,100,,LOW,,/shop/chocolate-bar/
unreal dark chocolate coconut bars,Chocolate & Cacao,4400,0.34,98,,LOW,,/shop/chocolate-bar/
navitas cacao powder,Chocolate & Cacao,4400,0.81,100,,LOW,,/shop/chocolate-bar/
guittard cocoa powder,Chocolate & Cacao,4400,0.58,100,,LOW,,/shop/chocolate-bar/
alter eco dark chocolate,Chocolate & Cacao,4400,0.92,100,,LOW,,/shop/chocolate-bar/
lindt excellence dark chocolate,Chocolate & Cacao,4400,0.31,49,,LOW,,/shop/chocolate-bar/
kit kat dark chocolate,Chocolate & Cacao,4400,0.28,94,,LOW,,/shop/chocolate-bar/
hot cocoa powder,Chocolate & Cacao,4400,0.47,100,,LOW,,/shop/chocolate-bar/
navitas cacao,Chocolate & Cacao,4400,0.81,100,,LOW,,/shop/chocolate-bar/
handcrafted chocolate,Chocolate & Cacao,4400,4.12,58,,LOW,,/shop/chocolate-bar/
cocoa powder near me,Chocolate & Cacao,4400,0.37,93,,LOW,,/shop/chocolate-bar/
cacao powder near me,Chocolate & Cacao,4400,0.37,93,,LOW,,/shop/chocolate-bar/
milk chocolate cocoa powder,Chocolate & Cacao,4400,0.33,24,,LOW,,/shop/chocolate-bar/
chocolate milk cocoa powder,Chocolate & Cacao,4400,0.33,24,,LOW,,/shop/chocolate-bar/
dark chocolate alter eco,Chocolate & Cacao,4400,0.92,100,,LOW,,/shop/chocolate-bar/
dark chocolate lindt excellence,Chocolate & Cacao,4400,0.31,49,,LOW,,/shop/chocolate-bar/
kitkat black chocolate,Chocolate & Cacao,4400,0.28,94,,LOW,,/shop/chocolate-bar/
navitas naturals cacao powder,Chocolate & Cacao,4400,0.81,100,,LOW,,/shop/chocolate-bar/
valentines chocolate box,Chocolate & Cacao,4400,0.2,80,,LOW,Gifting/DTC,/shop/chocolate-bar/
chocolate present box,Chocolate & Cacao,4400,2.04,100,,LOW,Gifting/DTC,/shop/chocolate-bar/
valentine's day box of chocolates,Chocolate & Cacao,4400,0.2,80,,LOW,Gifting/DTC,/shop/chocolate-bar/
chocolate box valentines,Chocolate & Cacao,4400,0.2,80,,LOW,Gifting/DTC,/shop/chocolate-bar/
chocolate box present,Chocolate & Cacao,4400,2.04,100,,LOW,Gifting/DTC,/shop/chocolate-bar/
valentines day chocolate boxes,Chocolate & Cacao,4400,0.2,80,,LOW,Gifting/DTC,/shop/chocolate-bar/
chocolate in a box gifts,Chocolate & Cacao,4400,2.04,100,,LOW,Gifting/DTC,/shop/chocolate-bar/
chocolate valentine box,Chocolate & Cacao,4400,0.2,80,,LOW,Gifting/DTC,/shop/chocolate-bar/
best dark chocolate for health,Chocolate & Cacao,4400,0.58,100,,LOW,Wellness,/shop/chocolate-bar/
chocolate and peanut butter bars,Chocolate & Cacao,4400,0.49,60,,LOW,,/shop/chocolate-bar/
cocoa powder is it good for you,Chocolate & Cacao,4400,0.59,11,,LOW,,/shop/chocolate-bar/
raw cacao beans,Chocolate & Cacao,3600,0.47,95,,LOW,,/shop/chocolate-bar/
mast organic dark chocolate,Chocolate & Cacao,3600,2.15,92,,LOW,Ethical Sourcing,/shop/chocolate-bar/
alter eco chocolate,Chocolate & Cacao,3600,0.74,100,,LOW,,/shop/chocolate-bar/
ferrero rocher dark chocolate,Chocolate & Cacao,3600,0.31,96,,LOW,,/shop/chocolate-bar/
best cocoa powder,Chocolate & Cacao,3600,0.65,100,,LOW,,/shop/chocolate-bar/
cacao barry extra brute,Chocolate & Cacao,3600,0.78,100,,LOW,,/shop/chocolate-bar/
ghirardelli dutch process cocoa powder,Chocolate & Cacao,3600,0.35,100,,LOW,,/shop/chocolate-bar/
guittard cocoa rouge,Chocolate & Cacao,3600,0.67,79,,LOW,,/shop/chocolate-bar/
hershey's natural unsweetened cocoa,Chocolate & Cacao,3600,0.24,5,,LOW,,/shop/chocolate-bar/
cacao barry extra brute cocoa powder,Chocolate & Cacao,3600,0.78,100,,LOW,,/shop/chocolate-bar/
good cocoa powder,Chocolate & Cacao,3600,0.65,100,,LOW,,/shop/chocolate-bar/
guittard cocoa rouge cocoa powder,Chocolate & Cacao,3600,0.67,79,,LOW,,/shop/chocolate-bar/
guittard rouge cocoa powder,Chocolate & Cacao,3600,0.67,79,,LOW,,/shop/chocolate-bar/
ghirardelli dutch cocoa powder,Chocolate & Cacao,3600,0.35,100,,LOW,,/shop/chocolate-bar/
barry cacao extra brute,Chocolate & Cacao,3600,0.78,100,,LOW,,/shop/chocolate-bar/
barry cocoa powder extra brute,Chocolate & Cacao,3600,0.78,100,,LOW,,/shop/chocolate-bar/
dutch processed cocoa powder ghirardelli,Chocolate & Cacao,3600,0.35,100,,LOW,,/shop/chocolate-bar/
ferrero rocher chocolate dark chocolate,Chocolate & Cacao,3600,0.31,96,,LOW,,/shop/chocolate-bar/
raw cocoa beans,Chocolate & Cacao,3600,0.47,95,,LOW,,/shop/chocolate-bar/
mugs with hot chocolate,Chocolate & Cacao,3600,3.57,96,,LOW,,/shop/chocolate-bar/
keto chocolate,Chocolate & Cacao,3600,0.98,100,,LOW,Dietary,/shop/chocolate-bar/
vegan chocolate bar,Chocolate & Cacao,3600,0.89,100,,LOW,Dietary,/shop/chocolate-bar/
keto cocoa,Chocolate & Cacao,3600,0.98,100,,LOW,Dietary,/shop/chocolate-bar/
lily's chocolate chips sugar free,Chocolate & Cacao,3600,0.35,100,,LOW,,/shop/chocolate-bar/
dark chocolate healthy,Chocolate & Cacao,3600,0.47,100,,LOW,Wellness,/shop/chocolate-bar/
keto diet chocolate,Chocolate & Cacao,3600,0.98,100,,LOW,Dietary,/shop/chocolate-bar/
ketogenic chocolate,Chocolate & Cacao,3600,0.98,100,,LOW,Dietary,/shop/chocolate-bar/
health dark chocolate,Chocolate & Cacao,3600,0.63,100,,LOW,Wellness,/shop/chocolate-bar/
chocolate in keto,Chocolate & Cacao,3600,0.98,100,,LOW,Dietary,/shop/chocolate-bar/
good for you dark chocolate,Chocolate & Cacao,3600,0.63,100,,LOW,,/shop/chocolate-bar/
keto and chocolate,Chocolate & Cacao,3600,0.98,100,,LOW,Dietary,/shop/chocolate-bar/
gourmet hot chocolate,Chocolate & Cacao,2900,1.4,100,,LOW,,/shop/chocolate-bar/
100 dark chocolate,Chocolate & Cacao,2900,0.52,100,,LOW,,/shop/chocolate-bar/
brookside dark chocolate,Chocolate & Cacao,2900,0.29,97,,LOW,,/shop/chocolate-bar/
organic raw cacao powder,Chocolate & Cacao,2900,1.25,100,,LOW,Ethical Sourcing,/shop/chocolate-bar/
dark chocolate cocoa powder,Chocolate & Cacao,2900,0.43,100,,LOW,,/shop/chocolate-bar/
hershey's unsweetened cocoa,Chocolate & Cacao,2900,0.26,47,,LOW,,/shop/chocolate-bar/
raw organic cocoa powder,Chocolate & Cacao,2900,1.25,100,,LOW,Ethical Sourcing,/shop/chocolate-bar/
hershey's dark cocoa powder,Chocolate & Cacao,2900,0.13,93,,LOW,,/shop/chocolate-bar/
unsweetened natural cocoa powder,Chocolate & Cacao,2900,0.4,83,,LOW,,/shop/chocolate-bar/
hershey's unsweetened cocoa powder,Chocolate & Cacao,2900,0.26,47,,LOW,,/shop/chocolate-bar/
trader joe's cocoa powder,Chocolate & Cacao,2900,0.2,68,,LOW,,/shop/chocolate-bar/
cacao powder trader joes,Chocolate & Cacao,2900,0.2,68,,LOW,,/shop/chocolate-bar/
cocoa dark chocolate powder,Chocolate & Cacao,2900,0.43,100,,LOW,,/shop/chocolate-bar/
cocoa powder dark chocolate,Chocolate & Cacao,2900,0.43,100,,LOW,,/shop/chocolate-bar/
dark chocolate and cocoa powder,Chocolate & Cacao,2900,0.43,100,,LOW,,/shop/chocolate-bar/
dark chocolate with cocoa powder,Chocolate & Cacao,2900,0.43,100,,LOW,,/shop/chocolate-bar/
hershey's cocoa powder natural unsweetened,Chocolate & Cacao,2900,0.28,21,,LOW,,/shop/chocolate-bar/
hershey's natural unsweetened cocoa powder,Chocolate & Cacao,2900,0.28,21,,LOW,,/shop/chocolate-bar/
hersheys dark cocoa powder,Chocolate & Cacao,2900,0.13,93,,LOW,,/shop/chocolate-bar/
natural unsweetened cocoa,Chocolate & Cacao,2900,0.4,83,,LOW,,/shop/chocolate-bar/
pistachio chocolate bars,Chocolate & Cacao,2900,0.32,98,,LOW,,/shop/chocolate-bar/
raw organic cocoa,Chocolate & Cacao,2900,1.25,100,,LOW,Ethical Sourcing,/shop/chocolate-bar/
unsweetened hershey's cocoa powder,Chocolate & Cacao,2900,0.26,47,,LOW,,/shop/chocolate-bar/
raw cacao butter,Chocolate & Cacao,2900,0.86,100,,LOW,,/shop/chocolate-bar/
basket of chocolates gift,Chocolate & Cacao,2900,3.54,100,,LOW,Gifting/DTC,/shop/chocolate-bar/
godiva chocolate box gift,Chocolate & Cacao,2900,1.01,40,,LOW,Gifting/DTC,/shop/chocolate-bar/
benefits of cacao beans,Chocolate & Cacao,2900,0.54,27,,LOW,Wellness,/shop/chocolate-bar/
dark chocolate and heart health,Chocolate & Cacao,2900,0.46,45,,LOW,Wellness,/shop/chocolate-bar/
dark chocolate for heart health,Chocolate & Cacao,2900,0.46,45,,LOW,Wellness,/shop/chocolate-bar/
gourmet chocolate bar,Chocolate & Cacao,2400,1.89,100,,LOW,,/shop/chocolate-bar/
organic cacao,Chocolate & Cacao,2400,1.32,100,,LOW,Ethical Sourcing,/shop/chocolate-bar/
gourmet chocolate near me,Chocolate & Cacao,2400,0.84,81,,LOW,,/shop/chocolate-bar/
dark chocolate candy bars,Chocolate & Cacao,2400,0.56,99,,LOW,,/shop/chocolate-bar/
milky way dark chocolate,Chocolate & Cacao,2400,0.33,98,,LOW,,/shop/chocolate-bar/
tony's chocolonely dark chocolate,Chocolate & Cacao,2400,0.32,100,,LOW,,/shop/chocolate-bar/
premium chocolate bars,Chocolate & Cacao,2400,1.17,87,,LOW,,/shop/chocolate-bar/
alkali processed cocoa,Chocolate & Cacao,2400,0.43,6,,LOW,,/shop/chocolate-bar/
alkali processed cocoa powder,Chocolate & Cacao,2400,0.43,6,,LOW,,/shop/chocolate-bar/
baking cocoa and cocoa powder,Chocolate & Cacao,2400,0.26,94,,LOW,,/shop/chocolate-bar/
candy bars with dark chocolate,Chocolate & Cacao,2400,0.56,99,,LOW,,/shop/chocolate-bar/
chocolates with price,Chocolate & Cacao,2400,1.61,22,,LOW,,/shop/chocolate-bar/
cocoa powder in baking,Chocolate & Cacao,2400,0.26,94,,LOW,,/shop/chocolate-bar/
cocoa powder v cacao powder,Chocolate & Cacao,2400,0.46,49,,LOW,,/shop/chocolate-bar/
cold pressed cacao powder,Chocolate & Cacao,2400,0.78,95,,LOW,,/shop/chocolate-bar/
dark chocolate milky way bars,Chocolate & Cacao,2400,0.33,98,,LOW,,/shop/chocolate-bar/
milky way dark chocolate candy bar,Chocolate & Cacao,2400,0.33,98,,LOW,,/shop/chocolate-bar/
cold pressed cacao,Chocolate & Cacao,2400,1.4,100,,LOW,,/shop/chocolate-bar/
chocolate assortment box,Chocolate & Cacao,2400,1.22,100,,LOW,Gifting/DTC,/shop/chocolate-bar/
hot chocolate sets gifts,Chocolate & Cacao,2400,0.9,99,,LOW,Gifting/DTC,/shop/chocolate-bar/
